SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
,,,,,0.196602235949418,1,,,,,,,,
,,,,,0.196688778228992,1,,,,,,,,
,,,,,0.196951528885598,1,,,,,,,,
,,,,,0.197331338048149,1,,,,,,,,
,,,,,0.197609979633516,1,,,,,,,,
,,,,,0.197692641125671,1,,,,,,,,
,,,,,0.197908553876091,1,,,,,,,,
,,,,,0.197924965088053,1,,,,,,,,
,,,,,0.198161452959221,1,,,,,,,,
,,,,,0.198173534533094,1,,,,,,,,
,,,,,0.198174335572811,1,,,,,,,,
,,,,,0.19821343394634,1,,,,,,,,
,,,,,0.198255145752795,1,,,,,,,,
,,,,,0.198277942213123,1,,,,,,,,
,,,,,0.198300907617547,1,,,,,,,,
,,,,,0.19860851559967,1,,,,,,,,
,,,,,0.199150733969668,1,,,,,,,,
,,,,,0.199169591155508,1,,,,,,,,
,,,,,0.199250486042187,1,,,,,,,,
,,,,,0.199261540603324,1,,,,,,,,
,,,,,0.199312826286905,1,,,,,,,,
,,,,,0.199502238791175,1,,,,,,,,
,,,,,0.199604352351388,1,,,,,,,,
,,,,,0.199719284726475,1,,,,,,,,
,,,,,0.200510105825822,1,,,,,,,,
,,,,,0.200592717618894,1,,,,,,,,
,,,,,0.200665679050349,1,,,,,,,,
,,,,,0.201060515413878,1,,,,,,,,
,,,,,0.201082575383374,1,,,,,,,,
,,,,,0.201125714607803,1,,,,,,,,
,,,,,0.201136527720238,1,,,,,,,,
,,,,,0.201203979831037,1,,,,,,,,
,,,,,0.201311948225528,1,,,,,,,,
,,,,,0.201400106815613,1,,,,,,,,
,,,,,0.201409918536828,1,,,,,,,,
,,,,,0.20147507931331,1,,,,,,,,
,,,,,0.20149912377991,1,,,,,,,,
,,,,,0.201587390002295,1,,,,,,,,
,,,,,0.201596889941823,1,,,,,,,,
,,,,,0.2017901566398,1,,,,,,,,
,,,,,0.201896705170869,1,,,,,,,,
,,,,,0.202016993894008,1,,,,,,,,
,,,,,0.202058729692394,1,,,,,,,,
,,,,,0.202224174266783,1,,,,,,,,
,,,,,0.202399946236425,1,,,,,,,,
