ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2016,Farmacêutico e Higiene,21236329,8972302,2639855,2497308,2816489,1018650
2016,Gráficas e Editoras,3821410,1948312,974830,309884,649690,13908
2016,Hospedagem e Turismo,1302825,1022988,285770,245234,300912,126344
2016,Intermediação Financeira,21247376,21380938,1769773,4519121,2018319,13070263
2016,Metalurgia e Siderurgia,128534738.67,24770076.82,16285121.07,7911574.65,8662027.35,-1886668.24
2016,Máquinas Equipamentos Veículos e Peças,68171804,23529050,11385174,4987376,7030710,120838
2016,Papel e Celulose,46228924,20131176,4522491,5016032,2540660,8051993
2016,Petroquímicos e Borracha,55438766,12218934,1678055,3655088,7359818,-584885
2016,Petróleo e Gás,501674908,201776369,36613159,108878212,68122033,-11856679
2016,Saneamento Serv. Água e Gás,6471808,3468252,1210739,922330,881747,453436
2016,Securitização de Recebíveis,21797.66,56913.7,10295.77,4359.03,35658.81,6600.09
2016,Seguradoras e Corretoras,31863382,15949863,2961636,4329049,563665,8095513
2016,Sem Setor Principal,2034279,2228574.23,377248,303679.12,2167814.75,-638271.64
2016,Serviços Médicos,8990610,4573861,1711651,1133580,1047626,671715
2016,Serviços Transporte e Logística,82918528.84,43834864.15,9656802.47,8889463.64,24467503.65,913626.39
2016,Telecomunicações,160613574,83326340.33,12558421,50129664.19,24537119.03,-3900497.9
2016,Têxtil e Vestuário,30750729.98,12891726.58,5548125.55,3638704.79,2886130.02,689639.21
2017,Agricultura (Açúcar Álcool e Cana),37580467,24051628,3703910,4933859,12449821,2328129
2017,Alimentos,251753410,58921644,29587916,10439319,18612776,-39489
2017,Bancos,578016651,196706403,74264445,49071819,5336124,67400750
2017,Bebidas e Fumo,73758033,43599031,4315914,27050929,4381684,7850504
2017,Bolsas de Valores/Mercadorias e Futuros,4072109,3421227,642312,688649,793621,923007
2017,Brinquedos e Lazer,1918272,854898,227537,285107,341627,627
2017,Comunicação e Informática,10386447.77,6072179.84,3559236.77,1691357.3,863745.65,-42159.87
2017,Comércio (Atacado e Varejo),324146069.19,73533602.22,18625225.46,31801978.04,17111572.28,5628182.42
2017,Construção Civil Mat. Constr. e Decoração,29699612.77,9593978.36,3931754.3,3400351.58,3894499.63,-1733839.15
2017,Crédito Imobiliário,112046,-21611,20274,5672,69711,-117268
2017,Educação,10610484,8537181,3969109,653774,1329078,2585220
2017,Embalagens,1134067,361816,169480,161640,138869,-108173
2017,Energia Elétrica,317647521,153203111,19952336,87337549,33123108,11804780
2017,Extração Mineral,119646757,61084043,8493809,12822572,15721565,22513403
2017,Farmacêutico e Higiene,20008505,7130943,3178111,2160998,1591903,199931
2017,Gráficas e Editoras,3641919,1934297,880613,396834,625012,31838
2017,Hospedagem e Turismo,1398572,1102467,327795,263050,316624,106361
2017,Intermediação Financeira,19541364,20169811,1595039,4150338,1543772,12880662
2017,Metalurgia e Siderurgia,133825431.39,30961929.75,14853451.95,7467849.85,8855362.71,718821.25
2017,Máquinas Equipamentos Veículos e Peças,67189405,23100948,11308476,4895802,5605472,1292140
2017,Papel e Celulose,55038825,24274602,4886940,3855189,9565136,5967337
2017,Petroquímicos e Borracha,63171563,16317998,1989403,4745438,5187752,4386529
2017,Petróleo e Gás,497245472,223690959,31199416,120889350,71454930,106502
2017,Saneamento Serv. Água e Gás,7233773,4104317,1348890,1199850,819878,735699
2017,Securitização de Recebíveis,25561.02,26894,10545.98,6396.18,0.46,9951.38
2017,Seguradoras e Corretoras,35333710,17108928,3116039,4733102,551627,8641408
2017,Sem Setor Principal,2465440,2509081.27,389955,336175.08,1904645.02,-167693.82
2017,Serviços Médicos,19437022,7929275,2800156,1948133,1174383,1996190
2017,Serviços Transporte e Logística,92028700.11,43539299.98,10754960.24,8870677.8,21827741.63,2051762.3
2017,Telecomunicações,159281762,85677208,12203967,47550248,27664233,-1747150
2017,Têxtil e Vestuário,33405609.1,15111875.85,6245802,3605544.67,2691036.58,2445306.61
2018,Agricultura (Açúcar Álcool e Cana),47687625,17576975,3988663,4958841,6206332,1249115
2018,Alimentos,283745077,76464769,32214890,8294977,35824946,-208128
2018,Bancos,530470371,198668343,74169778,44055093,5193640,74231344
2018,Bebidas e Fumo,76976596,45100900,4464939,24700335,4558199,11377427
2018,Bolsas de Valores/Mercadorias e Futuros,5351875,4152639,741920,779890,542478,1435000
2018,Brinquedos e Lazer,2702720,1421896,292776,313999,481808,333313
2018,Comunicação e Informática,8588254.98,5152621.55,3351694.17,1162100.08,700986.34,-62159.04
2018,Comércio (Atacado e Varejo),362827188.29,87737930.36,20634478.04,41703762.76,14871024.28,9745957.28
2018,Construção Civil Mat. Constr. e Decoração,32637089.99,9492763.73,4025764.68,3058613.61,3859962.6,-1460196.16
2018,Crédito Imobiliário,93982,-18186,16085,-16359,40658,-58570
2018,Educação,11838694,8935533,4367665,606558,1842199,2119111
2018,Embalagens,1200815,494697,177233,158475,140108,18881
2018,Energia Elétrica,356327446,198217651,19924564,101554440,41423207,32761509
2018,Extração Mineral,152848272,78369959,9378305,10939759,26019291,31977385
2018,Farmacêutico e Higiene,23474986,12620999,3919950,2787138,3041058,2872853
2018,Gráficas e Editoras,3782886,1763595,1039735,430577,591639,-298356
2018,Hospedagem e Turismo,1907260,1353574,469100,302520,417435,156552
2018,Intermediação Financeira,20571350,20010940,1691023,3789877,1070594,13459446
2018,Metalurgia e Siderurgia,167582789.97,43824352.24,15678945.3,6954099.2,11760812.68,9419723.05
2018,Máquinas Equipamentos Veículos e Peças,72986529,23073494,11362934,5079580,6553020,132098
2018,Papel e Celulose,69330890,35966216,5639669,3281098,22299289,4746160
2018,Petroquímicos e Borracha,75032614,18730812,2134152,6037790,7251065,3307805
2018,Petróleo e Gás,587689731,290837387,34924704,159065195,69542106,27253325
2018,Saneamento Serv. Água e Gás,8332632.75,4782434.11,1417468.36,1179870.02,1412413.94,772681.78
2018,Securitização de Recebíveis,12762,10532,6720,1789,0,2023
2018,Seguradoras e Corretoras,39582611,17924948,3105951,5414557,478050,8888843
2018,Sem Setor Principal,2396555,2011449,394967,437735,1452497,-277468
