CNPJ_CIA,SETOR_ATIV,ANO,Distribuição_do_Valor_Adicionado,Impostos_Taxas_e_Contribuições,Outros,Pessoal,Receitas,Remuneração_de_Capitais_de_Terceiros,Remuneração_de_Capitais_Próprios,Valor_Adicionado_Bruto,Valor_Adicionado_Líquido_Produzido,Valor_Adicionado_Total_a_Distribuir,VAB_Receitas,VALP_Receitas,DVA_Receitas,Pessoal_Receitas,Impostos_Receitas,Cap_Terceiros_Receitas,Cap_Proprio_Receitas,Outros_Receitas,Pessoal_DVA,Impostos_DVA,Cap_Terceiros_DVA,Cap_Proprio_DVA,Outros_DVA
02.291.077/0001-93,Energia Elétrica,2021,5403,417,0,71,7690,4608,307,6021,5279,5403,0.78296488946684,0.686475942782835,0.70260078023407,0.00923276983094929,0.0542262678803641,0.599219765929779,0.0399219765929779,0,0.0131408476772164,0.0771793448084398,0.852859522487507,0.0568202850268369,0
33.412.081/0001-96,Petróleo e Gás,2016,657272,1191961,0,15281,1618562,15313,-565283,580047,561749,657272,0.358371813992915,0.347066717246544,0.40608391893545,0.00944109647946758,0.736432092190475,0.00946086711537772,-0.34925013684987,0,0.0232491266933629,1.81349730400808,0.0232978127776628,-0.860044243479108,0
02.762.113/0001-50,Crédito Imobiliário,2014,88,1,0,19,1914,78,-10,183,88,88,0.0956112852664577,0.0459770114942529,0.0459770114942529,0.00992685475444096,0.000522466039707419,0.0407523510971787,-0.00522466039707419,0,0.215909090909091,0.0113636363636364,0.886363636363636,-0.113636363636364,0
33.256.439/0001-39,Petróleo e Gás,2022,7730024,1993240,547144,1458529,145972007,2192900,1538211,7196120,6175460,7730024,0.0492979451875317,0.0423057826422843,0.0529555231778104,0.00999184042184198,0.0136549468693679,0.0150227433675006,0.0105377122066973,0.00374828031240264,0.188683631512658,0.257856896692688,0.283686053238645,0.198991749572834,0.0707816689831752
33.412.081/0001-96,Petróleo e Gás,2010,774944,564127,0,14867,1474296,36901,159049,630654,763452,774944,0.427766201631151,0.517841735987888,0.525636642845127,0.0100841350719259,0.382641613353085,0.0250295734370845,0.107881320983032,0,0.0191846120493868,0.727958407317174,0.0476176343064789,0.20523934632696,0
76.627.504/0001-06,"Máquinas, Equipamentos, Veículos e Peças",2021,2492915,991817,0,26475,2575145,172669,1301954,2459511,2449947,2492915,0.955096120800965,0.951382155179611,0.968067817540372,0.0102809744693988,0.3851499624293,0.0670521465781539,0.505584734063519,0,0.0106200973559066,0.397854319140444,0.0692638938752424,0.522261689628407,0
00.994.533/0001-36,Serviços Transporte e Logística,2013,8721,1341,0,149,13297,89031,-81800,11579,8721,8721,0.870797924343837,0.655862224561931,0.655862224561931,0.0112055350831015,0.100849815747913,6.69557042942017,-6.15176355568925,0,0.0170851966517601,0.153766769865841,10.2088063295494,-9.37965829606697,0
00.359.742/0001-08,Sem Setor Principal,2020,14174,765,0,349,30809,730,12330,10411,10343,14174,0.33792073744685,0.335713590184686,0.46006037196923,0.0113278587425752,0.0248304066993411,0.0236943750202863,0.400207731507027,0,0.0246225483279244,0.053972061521095,0.0515027515168619,0.869902638634119,0
21.331.849/0001-18,Intermediação Financeira,2022,684370,139553,0,49782,4379997,410297,84738,733561,559728,684370,0.167479795077485,0.127791868350595,0.156248965467328,0.0113657612094255,0.0318614373480164,0.0936751783163322,0.0193465885935538,0,0.0727413533614858,0.203914549147391,0.59952511068574,0.123818986805383,0
28.201.130/0001-01,Energia Elétrica,2022,1218265,372051,271811,19631,1718583,431370,123402,1187052,1186747,1218265,0.690715548798051,0.690538077008792,0.708877604398507,0.0114227826063682,0.216487071034684,0.251003297484032,0.071804504059449,0.158159949213975,0.0161138996852081,0.305394146593721,0.354085523264643,0.101293232588969,0.223113197867459
